samples,price_chf_unifr,price_chf_academics,price_chf_private
1,100,150,500
2,110,165,550
3,120,180,600
4,120,180,600
5,130,195,650
6,140,210,700
7,150,225,750
8,150,225,750
9,160,240,800
10,170,255,850
11,170,255,850
12,180,270,900
13,190,285,950
14,190,285,950
15,200,300,1000
16,210,315,1050
17,210,315,1050
18,220,330,1100
19,230,345,1150
20,230,345,1150
21,240,360,1200
22,250,375,1250
23,250,375,1250
24,260,390,1300
25,270,405,1350
26,270,405,1350
27,280,420,1400
28,290,435,1450
29,290,435,1450
30,300,450,1500
31,300,450,1500
32,310,465,1550
33,320,480,1600
34,320,480,1600
35,330,495,1650
36,340,510,1700
37,340,510,1700
38,350,525,1750
39,350,525,1750
40,360,540,1800
41,370,555,1850
42,370,555,1850
43,380,570,1900
44,380,570,1900
45,390,585,1950
46,390,585,1950
47,400,600,2000
48,410,615,2050
49,410,615,2050
50,420,630,2100
51,420,630,2100
52,430,645,2150
53,430,645,2150
54,440,660,2200
55,440,660,2200
56,450,675,2250
57,460,690,2300
58,460,690,2300
59,470,705,2350
60,470,705,2350
61,480,720,2400
62,480,720,2400
63,490,735,2450
64,490,735,2450
65,500,750,2500
66,500,750,2500
67,510,765,2550
68,510,765,2550
69,520,780,2600
70,520,780,2600
71,530,795,2650
72,530,795,2650
73,540,810,2700
74,540,810,2700
75,550,825,2750
76,550,825,2750
77,560,840,2800
78,560,840,2800
79,570,855,2850
80,570,855,2850
81,580,870,2900
82,580,870,2900
83,590,885,2950
84,590,885,2950
85,590,885,2950
86,600,900,3000
87,600,900,3000
88,610,915,3050
89,610,915,3050
90,620,930,3100
91,620,930,3100
92,630,945,3150
93,630,945,3150
94,630,945,3150
95,640,960,3200
96,640,960,3200
97,650,975,3250
98,650,975,3250
99,660,990,3300
100,660,990,3300
101,660,990,3300
102,670,1005,3350
103,670,1005,3350
104,680,1020,3400
105,680,1020,3400
106,690,1035,3450
107,690,1035,3450
108,690,1035,3450
109,700,1050,3500
110,700,1050,3500
111,710,1065,3550
112,710,1065,3550
113,710,1065,3550
114,720,1080,3600
115,720,1080,3600
116,730,1095,3650
117,730,1095,3650
118,730,1095,3650
119,740,1110,3700
120,740,1110,3700
121,740,1110,3700
122,750,1125,3750
123,750,1125,3750
124,760,1140,3800
125,760,1140,3800
126,760,1140,3800
127,770,1155,3850
128,770,1155,3850
129,770,1155,3850
130,780,1170,3900
131,780,1170,3900
132,780,1170,3900
133,790,1185,3950
134,790,1185,3950
135,790,1185,3950
136,800,1200,4000
137,800,1200,4000
138,810,1215,4050
139,810,1215,4050
140,810,1215,4050
141,820,1230,4100
142,820,1230,4100
143,820,1230,4100
144,830,1245,4150
145,830,1245,4150
146,830,1245,4150
147,840,1260,4200
148,840,1260,4200
149,840,1260,4200
150,840,1260,4200
151,850,1275,4250
152,850,1275,4250
153,850,1275,4250
154,860,1290,4300
155,860,1290,4300
156,860,1290,4300
157,870,1305,4350
158,870,1305,4350
159,870,1305,4350
160,880,1320,4400
161,880,1320,4400
162,880,1320,4400
163,880,1320,4400
164,890,1335,4450
165,890,1335,4450
166,890,1335,4450
167,900,1350,4500
168,900,1350,4500
169,900,1350,4500
170,900,1350,4500
171,910,1365,4550
172,910,1365,4550
173,910,1365,4550
174,920,1380,4600
175,920,1380,4600
176,920,1380,4600
177,920,1380,4600
178,930,1395,4650
179,930,1395,4650
180,930,1395,4650
181,940,1410,4700
182,940,1410,4700
183,940,1410,4700
184,940,1410,4700
185,950,1425,4750
186,950,1425,4750
187,950,1425,4750
188,950,1425,4750
189,960,1440,4800
190,960,1440,4800
191,960,1440,4800
192,960,1440,4800
193,970,1455,4850
194,970,1455,4850
195,970,1455,4850
196,970,1455,4850
197,980,1470,4900
198,980,1470,4900
199,980,1470,4900
200,980,1470,4900
201,990,1485,4950
202,990,1485,4950
203,990,1485,4950
204,990,1485,4950
205,1000,1500,5000
206,1000,1500,5000
207,1000,1500,5000
208,1000,1500,5000
209,1000,1500,5000
210,1010,1515,5050
211,1010,1515,5050
212,1010,1515,5050
213,1010,1515,5050
214,1020,1530,5100
215,1020,1530,5100
216,1020,1530,5100
217,1020,1530,5100
218,1020,1530,5100
219,1030,1545,5150
220,1030,1545,5150
221,1030,1545,5150
222,1030,1545,5150
223,1040,1560,5200
224,1040,1560,5200
225,1040,1560,5200
226,1040,1560,5200
227,1040,1560,5200
228,1050,1575,5250
229,1050,1575,5250
230,1050,1575,5250
231,1050,1575,5250
232,1050,1575,5250
233,1060,1590,5300
234,1060,1590,5300
235,1060,1590,5300
236,1060,1590,5300
237,1060,1590,5300
238,1070,1605,5350
239,1070,1605,5350
240,1070,1605,5350
241,1070,1605,5350
242,1070,1605,5350
243,1080,1620,5400
244,1080,1620,5400
245,1080,1620,5400
246,1080,1620,5400
247,1080,1620,5400
248,1080,1620,5400
249,1090,1635,5450
250,1090,1635,5450
251,1090,1635,5450
252,1090,1635,5450
253,1090,1635,5450
254,1100,1650,5500
255,1100,1650,5500
256,1100,1650,5500
257,1100,1650,5500
258,1100,1650,5500
259,1100,1650,5500
260,1110,1665,5550
261,1110,1665,5550
262,1110,1665,5550
263,1110,1665,5550
264,1110,1665,5550
265,1110,1665,5550
266,1120,1680,5600
267,1120,1680,5600
268,1120,1680,5600
269,1120,1680,5600
270,1120,1680,5600
271,1120,1680,5600
272,1130,1695,5650
273,1130,1695,5650
274,1130,1695,5650
275,1130,1695,5650
276,1130,1695,5650
277,1130,1695,5650
278,1140,1710,5700
279,1140,1710,5700
280,1140,1710,5700
281,1140,1710,5700
282,1140,1710,5700
283,1140,1710,5700
284,1140,1710,5700
285,1150,1725,5750
286,1150,1725,5750
287,1150,1725,5750
288,1150,1725,5750
289,1150,1725,5750
290,1150,1725,5750
291,1160,1740,5800
292,1160,1740,5800
293,1160,1740,5800
294,1160,1740,5800
295,1160,1740,5800
296,1160,1740,5800
297,1160,1740,5800
298,1160,1740,5800
299,1170,1755,5850
300,1170,1755,5850
301,1170,1755,5850
302,1170,1755,5850
303,1170,1755,5850
304,1170,1755,5850
305,1170,1755,5850
306,1180,1770,5900
307,1180,1770,5900
308,1180,1770,5900
309,1180,1770,5900
310,1180,1770,5900
311,1180,1770,5900
312,1180,1770,5900
313,1180,1770,5900
314,1190,1785,5950
315,1190,1785,5950
316,1190,1785,5950
317,1190,1785,5950
318,1190,1785,5950
319,1190,1785,5950
320,1190,1785,5950
321,1190,1785,5950
322,1200,1800,6000
323,1200,1800,6000
324,1200,1800,6000
325,1200,1800,6000
326,1200,1800,6000
327,1200,1800,6000
328,1200,1800,6000
329,1200,1800,6000
330,1210,1815,6050
331,1210,1815,6050
332,1210,1815,6050
333,1210,1815,6050
334,1210,1815,6050
335,1210,1815,6050
336,1210,1815,6050
337,1210,1815,6050
338,1210,1815,6050
339,1220,1830,6100
340,1220,1830,6100
341,1220,1830,6100
342,1220,1830,6100
343,1220,1830,6100
344,1220,1830,6100
345,1220,1830,6100
346,1220,1830,6100
347,1220,1830,6100
348,1230,1845,6150
349,1230,1845,6150
350,1230,1845,6150
351,1230,1845,6150
352,1230,1845,6150
353,1230,1845,6150
354,1230,1845,6150
355,1230,1845,6150
356,1230,1845,6150
357,1230,1845,6150
358,1240,1860,6200
359,1240,1860,6200
360,1240,1860,6200
361,1240,1860,6200
362,1240,1860,6200
363,1240,1860,6200
364,1240,1860,6200
365,1240,1860,6200
366,1240,1860,6200
367,1240,1860,6200
368,1250,1875,6250
369,1250,1875,6250
370,1250,1875,6250
371,1250,1875,6250
372,1250,1875,6250
373,1250,1875,6250
374,1250,1875,6250
375,1250,1875,6250
376,1250,1875,6250
377,1250,1875,6250
378,1250,1875,6250
379,1260,1890,6300
380,1260,1890,6300
381,1260,1890,6300
382,1260,1890,6300
383,1260,1890,6300
384,1260,1890,6300
385,1260,1890,6300
386,1260,1890,6300
387,1260,1890,6300
388,1260,1890,6300
389,1260,1890,6300
390,1260,1890,6300
391,1270,1905,6350
392,1270,1905,6350
393,1270,1905,6350
394,1270,1905,6350
395,1270,1905,6350
396,1270,1905,6350
397,1270,1905,6350
398,1270,1905,6350
399,1270,1905,6350
400,1270,1905,6350
401,1270,1905,6350
402,1270,1905,6350
403,1280,1920,6400
404,1280,1920,6400
405,1280,1920,6400
406,1280,1920,6400
407,1280,1920,6400
408,1280,1920,6400
409,1280,1920,6400
410,1280,1920,6400
411,1280,1920,6400
412,1280,1920,6400
413,1280,1920,6400
414,1280,1920,6400
415,1280,1920,6400
416,1280,1920,6400
417,1290,1935,6450
418,1290,1935,6450
419,1290,1935,6450
420,1290,1935,6450
421,1290,1935,6450
422,1290,1935,6450
423,1290,1935,6450
424,1290,1935,6450
425,1290,1935,6450
426,1290,1935,6450
427,1290,1935,6450
428,1290,1935,6450
429,1290,1935,6450
430,1290,1935,6450
431,1290,1935,6450
432,1300,1950,6500
433,1300,1950,6500
434,1300,1950,6500
435,1300,1950,6500
436,1300,1950,6500
437,1300,1950,6500
438,1300,1950,6500
439,1300,1950,6500
440,1300,1950,6500
441,1300,1950,6500
442,1300,1950,6500
443,1300,1950,6500
444,1300,1950,6500
445,1300,1950,6500
446,1300,1950,6500
447,1310,1965,6550
448,1310,1965,6550
449,1310,1965,6550
450,1310,1965,6550
451,1310,1965,6550
452,1310,1965,6550
453,1310,1965,6550
454,1310,1965,6550
455,1310,1965,6550
456,1310,1965,6550
457,1310,1965,6550
458,1310,1965,6550
459,1310,1965,6550
460,1310,1965,6550
461,1310,1965,6550
462,1310,1965,6550
463,1310,1965,6550
464,1310,1965,6550
465,1320,1980,6600
466,1320,1980,6600
467,1320,1980,6600
468,1320,1980,6600
469,1320,1980,6600
470,1320,1980,6600
471,1320,1980,6600
472,1320,1980,6600
473,1320,1980,6600
474,1320,1980,6600
475,1320,1980,6600
476,1320,1980,6600
477,1320,1980,6600
478,1320,1980,6600
479,1320,1980,6600
480,1320,1980,6600
481,1320,1980,6600
482,1320,1980,6600
483,1320,1980,6600
484,1330,1995,6650
485,1330,1995,6650
486,1330,1995,6650
487,1330,1995,6650
488,1330,1995,6650
489,1330,1995,6650
490,1330,1995,6650
491,1330,1995,6650
492,1330,1995,6650
493,1330,1995,6650
494,1330,1995,6650
495,1330,1995,6650
496,1330,1995,6650
497,1330,1995,6650
498,1330,1995,6650
499,1330,1995,6650
500,1330,1995,6650
